Query ID,Query,Search Query,Filter Query,Extract Query
4d258219,Hardware used in Machine Learning,Machine Learning Hardware,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What hardware is used for Machine Learning?
8d44bd26,Datasets used in Information Retrieval,Information Retrieval datasets,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What datasets are used?
87f5ed52,Datasets used in 3D scenes,3D scene datasets,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What 3D scene datasets are used?
e02eb969,Question Answering datasets and their size,Question Answering datasets,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What is the name and size of the question-answering datasets used?
9ae4dcec,Metrics used in Information Retrieval with a short description of each,Information Retrieval metrics,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What is the name and description of the Information retrieval metrics used?
eadd0e8a,Areas of applications of Graph Neural Networks,Graph Neural Network applications,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What is the area of application of the Graph Neural Network?
2159a8d8,Models used for Object Detection,Object Detection models,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What is the name of the model?
992f3fba,Language pairs used in Neural Machine Translation,Neural Machine Translation,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What language pairs are used?
42492110,Techniques to prompt a Language Model,Prompting Language Models,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What prompting technique are they using?
1aaefbd0,Summarization evaluation metrics,Summarization evaluation metrics,"{""sources"" : ""arXiv,CVPR,ECCV,ICCV,ICLR,International Conference on Machine Learning,Advances in Neural Information Processing Systems,AAAI,WS,ACL,AACL,ANLP,CoNLL,EACL,EMNLP,NAACL,*SEMEVAL,TACL,CL,ALTA,AMTA,COLING,EAMT,HLT,IJCNLP,LILT,LREC,MUC,PACLIC,RANLP,TINLAP,TIPSTER,Conference on Recommender Systems,CIKM,SIGIR,KDD,Web Search and Data Mining,WWW,Asian Conference on Computer Vision (ACCV),European Conference on IR Research,PKDD,International Journal of Computer Vision,Pattern Recognition,Computer Vision and Image Understanding,ICANN,ICAPS,International Conference on Neural Information Processing,ICIAP,Intelligent Vehicles Symposium,Machine Vision Applications,Uncertainty in Artificial Intelligence,USENIX ATC,Conference on Innovative Data Systems Research,Journal of Machine Learning Research""}",What are the evaluation metrics used for summarization?
